uSim ySim yref uMin uMax yMin yMax uSimDig ySimDig vol
0.842979 6.997355 7.000000 0.000000 1.000000 0.000000 10.000000 3452 2865 1.370856e-05
0.733822 6.984466 7.000000 0.000000 1.000000 0.000000 10.000000 3005 2860 1.370856e-05
0.752869 7.019205 7.000000 0.000000 1.000000 0.000000 10.000000 3083 2874 1.370856e-05
0.842002 6.999428 7.000000 0.000000 1.000000 0.000000 10.000000 3448 2866 1.370856e-05
0.841514 6.950678 7.000000 0.000000 1.000000 0.000000 10.000000 3446 2846 1.370856e-05
0.708669 6.949404 7.000000 0.000000 1.000000 0.000000 10.000000 2902 2845 1.370856e-05
0.824908 7.006127 7.000000 0.000000 1.000000 0.000000 10.000000 3378 2869 1.370856e-05
0.714774 7.031220 7.000000 0.000000 1.000000 0.000000 10.000000 2927 2879 1.370856e-05
0.744078 7.091373 7.000000 0.000000 1.000000 0.000000 10.000000 3047 2903 1.274568e-05
0.770696 7.084337 7.000000 0.000000 1.000000 0.000000 10.000000 3156 2901 1.274568e-05
0.776801 7.068324 7.000000 0.000000 1.000000 0.000000 10.000000 3181 2894 1.274568e-05
0.846642 7.027811 7.000000 0.000000 1.000000 0.000000 10.000000 3467 2877 1.274568e-05
0.678632 6.999871 7.000000 0.000000 1.000000 0.000000 10.000000 2779 2866 1.274568e-05
0.883761 7.023796 7.000000 0.000000 1.000000 0.000000 10.000000 3619 2876 1.274568e-05
0.684737 6.965972 7.000000 0.000000 1.000000 0.000000 10.000000 2804 2852 1.274568e-05
0.844444 6.988567 7.000000 0.000000 1.000000 0.000000 10.000000 3458 2861 1.274568e-05
0.856166 6.932027 7.000000 0.000000 1.000000 0.000000 10.000000 3506 2838 1.274568e-05
0.699389 6.940582 7.000000 0.000000 1.000000 0.000000 10.000000 2864 2842 1.274568e-05
0.814652 7.004777 7.000000 0.000000 1.000000 0.000000 10.000000 3336 2868 1.274568e-05
0.746520 7.013782 7.000000 0.000000 1.000000 0.000000 10.000000 3057 2872 1.274568e-05
0.777534 7.033455 7.000000 0.000000 1.000000 0.000000 10.000000 3184 2880 1.274568e-05
0.817338 7.012101 7.000000 0.000000 1.000000 0.000000 10.000000 3347 2871 1.274568e-05
0.805372 6.994350 7.000000 0.000000 1.000000 0.000000 10.000000 3298 2864 1.274568e-05
0.739683 6.998738 7.000000 0.000000 1.000000 0.000000 10.000000 3029 2865 1.274568e-05
0.779487 7.019684 7.000000 0.000000 1.000000 0.000000 10.000000 3192 2874 1.274568e-05
0.767521 7.019585 7.000000 0.000000 1.000000 0.000000 10.000000 3143 2874 1.274568e-05
0.760684 7.031866 7.000000 0.000000 1.000000 0.000000 10.000000 3115 2879 1.274568e-05
0.828571 7.031946 7.000000 0.000000 1.000000 0.000000 10.000000 3393 2879 1.274568e-05
0.716239 7.010509 7.000000 0.000000 1.000000 0.000000 10.000000 2933 2870 1.274568e-05
0.765568 7.027781 7.000000 0.000000 1.000000 0.000000 10.000000 3135 2877 1.274568e-05
0.792918 6.996776 7.000000 0.000000 1.000000 0.000000 10.000000 3247 2865 1.274568e-05
0.833455 6.947052 7.000000 0.000000 1.000000 0.000000 10.000000 3413 2844 1.274568e-05
