uSim ySim yref uMin uMax yMin yMax uSimDig ySimDig vol
0.340659 2.976050 3.000000 0.000000 1.000000 0.000000 10.000000 1395 1218 1.186479e-03
0.333089 2.977700 3.000000 0.000000 1.000000 0.000000 10.000000 1364 1219 1.186479e-03
0.319170 2.993067 3.000000 0.000000 1.000000 0.000000 10.000000 1307 1225 1.186479e-03
0.298168 3.014637 3.000000 0.000000 1.000000 0.000000 10.000000 1221 1234 1.186479e-03
0.299145 3.041849 3.000000 0.000000 1.000000 0.000000 10.000000 1225 1245 1.186479e-03
0.352381 3.041908 3.000000 0.000000 1.000000 0.000000 10.000000 1443 1245 1.186479e-03
0.360928 3.007320 3.000000 0.000000 1.000000 0.000000 10.000000 1478 1231 1.186479e-03
0.329915 3.003565 3.000000 0.000000 1.000000 0.000000 10.000000 1351 1229 1.186479e-03
0.344567 3.003364 3.000000 0.000000 1.000000 0.000000 10.000000 1411 1229 1.186479e-03
0.327717 2.998512 3.000000 0.000000 1.000000 0.000000 10.000000 1342 1227 1.186479e-03
0.302808 3.011433 3.000000 0.000000 1.000000 0.000000 10.000000 1240 1233 1.186479e-03
0.316484 3.023974 3.000000 0.000000 1.000000 0.000000 10.000000 1296 1238 1.186479e-03
0.373138 3.007159 3.000000 0.000000 1.000000 0.000000 10.000000 1528 1231 1.186479e-03
0.356288 2.975009 3.000000 0.000000 1.000000 0.000000 10.000000 1459 1218 1.186479e-03
0.326007 2.976569 3.000000 0.000000 1.000000 0.000000 10.000000 1335 1218 1.186479e-03
0.277900 3.007283 3.000000 0.000000 1.000000 0.000000 10.000000 1138 1231 1.186479e-03
0.300366 3.042274 3.000000 0.000000 1.000000 0.000000 10.000000 1230 1245 1.186479e-03
0.332845 3.026321 3.000000 0.000000 1.000000 0.000000 10.000000 1363 1239 1.186479e-03
0.337485 3.005918 3.000000 0.000000 1.000000 0.000000 10.000000 1382 1230 1.186479e-03
0.326007 2.993857 3.000000 0.000000 1.000000 0.000000 10.000000 1335 1225 1.186479e-03
0.360928 2.969447 3.000000 0.000000 1.000000 0.000000 10.000000 1478 1215 1.186479e-03
0.355800 2.950077 3.000000 0.000000 1.000000 0.000000 10.000000 1457 1208 1.186479e-03
0.267399 2.976838 3.000000 0.000000 1.000000 0.000000 10.000000 1095 1219 1.186479e-03
0.304274 3.029012 3.000000 0.000000 1.000000 0.000000 10.000000 1246 1240 1.186479e-03
0.306471 3.041911 3.000000 0.000000 1.000000 0.000000 10.000000 1255 1245 1.186479e-03
0.390720 3.019826 3.000000 0.000000 1.000000 0.000000 10.000000 1600 1236 1.186479e-03
0.337485 2.984634 3.000000 0.000000 1.000000 0.000000 10.000000 1382 1222 1.186479e-03
0.293040 3.002154 3.000000 0.000000 1.000000 0.000000 10.000000 1200 1229 1.186479e-03
0.318437 3.026720 3.000000 0.000000 1.000000 0.000000 10.000000 1304 1239 1.186479e-03
0.371429 3.018742 3.000000 0.000000 1.000000 0.000000 10.000000 1521 1236 1.186479e-03
0.352381 2.988170 3.000000 0.000000 1.000000 0.000000 10.000000 1443 1223 1.186479e-03
0.371917 2.964824 3.000000 0.000000 1.000000 0.000000 10.000000 1523 1214 1.186479e-03
0.261538 2.973606 3.000000 0.000000 1.000000 0.000000 10.000000 1071 1217 1.186479e-03
0.382173 2.991292 3.000000 0.000000 1.000000 0.000000 10.000000 1565 1224 1.186479e-03
0.339194 2.958488 3.000000 0.000000 1.000000 0.000000 10.000000 1389 1211 1.186479e-03
0.366789 2.952934 3.000000 0.000000 1.000000 0.000000 10.000000 1502 1209 1.186479e-03
0.355311 2.936842 3.000000 0.000000 1.000000 0.000000 10.000000 1455 1202 1.186479e-03
0.360928 2.930776 3.000000 0.000000 1.000000 0.000000 10.000000 1478 1200 1.186479e-03
0.342613 2.945252 3.000000 0.000000 1.000000 0.000000 10.000000 1403 1206 1.186479e-03
0.313797 2.968616 3.000000 0.000000 1.000000 0.000000 10.000000 1285 1215 1.186479e-03
0.371184 2.982049 3.000000 0.000000 1.000000 0.000000 10.000000 1520 1221 1.186479e-03
0.299878 2.995256 3.000000 0.000000 1.000000 0.000000 10.000000 1228 1226 1.186479e-03
